
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'CD37[0.00,0.00,0.00]=0.35', 'le_us=5340', 'est[0.25,0.44,0.09,51]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.33', 'CD37[0.00,0.00,0.00]=0.29', 'le_us=5218', 'est[0.25,0.46,0.11,53]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'CD37[0.00,0.00,0.00]=0.28', 'le_us=5096', 'est[0.25,0.47,0.04,47]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5889', 'est[0.25,0.41,0.08,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.22', 'CD37[0.00,0.00,0.00]=0.34', 'le_us=5371', 'est[0.25,0.42,0.10,44]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.25', 'le_us=4974', 'est[0.25,0.43,0.11,43]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.23', 'CD37[0.00,0.00,0.00]=0.33', 'le_us=5462', 'est[0.25,0.43,0.12,40]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.23', 'CD37[0.00,0.00,0.00]=0.33', 'le_us=5279', 'est[0.25,0.43,0.13,42]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.34', 'le_us=5371', 'est[0.25,0.44,0.14,41]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5462', 'est[0.25,0.39,0.15,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.26', 'CD37[0.00,0.00,0.00]=0.27', 'le_us=5065', 'est[0.25,0.41,0.08,47]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'CD37[0.00,0.00,0.00]=0.18', 'le_us=5218', 'est[0.25,0.41,0.09,62]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.33', 'CD37[0.00,0.00,0.00]=0.25', 'le_us=5188', 'est[0.25,0.42,0.11,41]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'CD37[0.00,0.00,0.00]=0.29', 'le_us=5096', 'est[0.25,0.44,0.04,51]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.21', 'le_us=5035', 'est[0.25,0.44,0.07,50]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.34', 'le_us=5310', 'est[0.25,0.44,0.09,43]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.31', 'CD37[0.00,0.00,0.00]=0.19', 'le_us=5127', 'est[0.25,0.43,0.10,58]']"
"['5B01[0.50,0.50,0.00]=0.21', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.26', 'CD37[0.00,0.00,0.00]=0.23', 'le_us=4943', 'est[0.24,0.43,0.02,37]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.21', 'le_us=5401', 'est[0.24,0.43,-0.02,48]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.26', 'le_us=5065', 'est[0.25,0.44,0.02,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.20', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.24', 'le_us=4669', 'est[0.25,0.45,0.05,59]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.26', 'CD37[0.00,0.00,0.00]=0.43', 'le_us=6530', 'est[0.25,0.46,0.08,46]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'CD37[0.00,0.00,0.00]=0.17', 'le_us=5218', 'est[0.25,0.44,0.09,64]']"
